id,transaction_date,parcel_id,baths,beds,sqft,lot_sqft,fips,latitude,longitude,region_zip_id,year_built,land_tax_value,tax_amount,log_error
349,2017-06-15,17054981,5.0,4.0,3760.0,42688.0,6111,34.449407,-119.254052,97099,1982,370922.0,9673.46,-0.013098971162399999
355,2017-07-26,17055743,2.0,3.0,1444.0,7108.0,6111,34.454169,-119.237898,97099,1951,305312.0,5538.8,0.0739851173864
383,2017-07-28,17068109,1.5,3.0,1698.0,2588.0,6111,34.365693,-119.448392,97081,1979,93193.0,2987.36,0.071885555586
423,2017-07-07,17078502,1.0,2.0,1170.0,5643.0,6111,34.278012,-119.257047,97083,1948,444178.0,6220.7,-0.07378653870089999
429,2017-07-28,17079209,2.0,3.0,1257.0,5000.0,6111,34.273903,-119.273825,97081,1930,362000.0,4861.56,-0.0113675581929
729,2017-07-06,17157638,2.0,3.0,1138.0,4000.0,6111,34.189442,-119.23878,97106,1973,557000.0,7630.08,0.0407478117405
745,2017-05-12,17162450,2.0,4.0,1260.0,4407.0,6111,34.202201,-119.16006,97101,1964,27922.0,1130.1,0.0662672932231
954,2017-05-26,17225949,4.5,5.0,3034.0,7266.0,6111,34.234233,-118.795417,97118,2000,339530.0,7678.78,-0.023656675221
991,2017-06-12,17234977,2.0,3.0,1452.0,7267.0,6111,34.278788,-118.712923,97116,1959,15485.0,957.94,0.368884543213
1122,2017-06-08,17268484,2.5,4.0,2819.0,19550.0,6111,34.202808,-118.904751,96383,1967,397289.0,6475.98,0.0331743645383
1143,2017-05-19,17274552,1.0,2.0,864.0,3494.0,6111,34.183694,-118.863013,96383,1965,339000.0,4210.12,0.00245872030135
1162,2017-07-25,17280385,2.0,4.0,1928.0,10440.0,6111,34.211556,-118.852527,96383,1960,135379.0,3574.14,0.00887253558299
1433,2017-07-27,10752082,3.0,2.0,1675.0,3201.0,6037,34.139545,-118.700644,96337,1988,201054.0,4225.74,-0.0135412070254
1505,2017-07-28,10773940,2.0,3.0,1327.0,6937.0,6037,34.206593,-118.564011,96341,1953,186912.0,4350.58,-0.00011788143364399999
1517,2017-05-31,10777439,1.0,2.0,1356.0,9599.0,6037,34.206691,-118.518468,96364,1941,162000.0,3830.07,-0.0322569432358
1529,2017-07-05,10779198,2.0,3.0,1208.0,7298.0,6037,34.186094,-118.523907,96349,1950,43465.0,987.92,0.0650706367032
1754,2017-05-25,10833210,3.0,3.0,1752.0,6748.0,6037,34.197754,-118.499937,96415,1955,187556.0,4248.03,0.0465893279056
1808,2017-07-27,10848648,2.0,2.0,1421.0,7435.0,6037,34.167794,-118.454656,96420,1951,101470.0,2017.53,0.09732222171589998
1829,2017-05-11,10854832,2.0,3.0,1680.0,5599.0,6037,34.156833,-118.472488,96426,1961,201653.0,4078.71,-0.0200837140586
2120,2017-06-06,10928698,2.0,3.0,1170.0,6490.0,6037,34.167788,-118.356621,96446,1944,194535.0,3133.07,0.0755761320637
2404,2017-05-11,11005381,2.0,3.0,1564.0,9012.0,6037,34.241013,-118.272231,96284,1956,24541.0,1310.92,0.0870862681493
