id,transaction_date,parcel_id,baths,beds,sqft,lot_sqft,fips,latitude,longitude,region_zip_id,year_built,land_tax_value,tax_amount,log_error
349,2017-06-15,17054981,5.0,4.0,3760.0,42688.0,6111.0,34449407.0,-119254052.0,97099.0,1982.0,370922.0,9673.46,-0.013098971162399999
355,2017-07-26,17055743,2.0,3.0,1444.0,7108.0,6111.0,34454169.0,-119237898.0,97099.0,1951.0,305312.0,5538.8,0.0739851173864
383,2017-07-28,17068109,1.5,3.0,1698.0,2588.0,6111.0,34365693.0,-119448392.0,97081.0,1979.0,93193.0,2987.36,0.071885555586
423,2017-07-07,17078502,1.0,2.0,1170.0,5643.0,6111.0,34278012.0,-119257047.0,97083.0,1948.0,444178.0,6220.7,-0.07378653870089999
429,2017-07-28,17079209,2.0,3.0,1257.0,5000.0,6111.0,34273903.0,-119273825.0,97081.0,1930.0,362000.0,4861.56,-0.0113675581929
729,2017-07-06,17157638,2.0,3.0,1138.0,4000.0,6111.0,34189442.0,-119238780.0,97106.0,1973.0,557000.0,7630.08,0.0407478117405
745,2017-05-12,17162450,2.0,4.0,1260.0,4407.0,6111.0,34202201.0,-119160060.0,97101.0,1964.0,27922.0,1130.1,0.0662672932231
954,2017-05-26,17225949,4.5,5.0,3034.0,7266.0,6111.0,34234233.0,-118795417.0,97118.0,2000.0,339530.0,7678.78,-0.023656675221
991,2017-06-12,17234977,2.0,3.0,1452.0,7267.0,6111.0,34278788.0,-118712923.0,97116.0,1959.0,15485.0,957.94,0.368884543213
1122,2017-06-08,17268484,2.5,4.0,2819.0,19550.0,6111.0,34202808.0,-118904751.0,96383.0,1967.0,397289.0,6475.98,0.0331743645383
1143,2017-05-19,17274552,1.0,2.0,864.0,3494.0,6111.0,34183694.0,-118863013.0,96383.0,1965.0,339000.0,4210.12,0.00245872030135
1162,2017-07-25,17280385,2.0,4.0,1928.0,10440.0,6111.0,34211556.0,-118852527.0,96383.0,1960.0,135379.0,3574.14,0.00887253558299
1433,2017-07-27,10752082,3.0,2.0,1675.0,3201.0,6037.0,34139545.0,-118700644.0,96337.0,1988.0,201054.0,4225.74,-0.0135412070254
1505,2017-07-28,10773940,2.0,3.0,1327.0,6937.0,6037.0,34206593.0,-118564011.0,96341.0,1953.0,186912.0,4350.58,-0.00011788143364399999
1517,2017-05-31,10777439,1.0,2.0,1356.0,9599.0,6037.0,34206691.0,-118518468.0,96364.0,1941.0,162000.0,3830.07,-0.0322569432358
1529,2017-07-05,10779198,2.0,3.0,1208.0,7298.0,6037.0,34186094.0,-118523907.0,96349.0,1950.0,43465.0,987.92,0.0650706367032
1754,2017-05-25,10833210,3.0,3.0,1752.0,6748.0,6037.0,34197754.0,-118499937.0,96415.0,1955.0,187556.0,4248.03,0.0465893279056
1808,2017-07-27,10848648,2.0,2.0,1421.0,7435.0,6037.0,34167794.0,-118454656.0,96420.0,1951.0,101470.0,2017.53,0.09732222171589998
1829,2017-05-11,10854832,2.0,3.0,1680.0,5599.0,6037.0,34156833.0,-118472488.0,96426.0,1961.0,201653.0,4078.71,-0.0200837140586
2120,2017-06-06,10928698,2.0,3.0,1170.0,6490.0,6037.0,34167788.0,-118356621.0,96446.0,1944.0,194535.0,3133.07,0.0755761320637
2404,2017-05-11,11005381,2.0,3.0,1564.0,9012.0,6037.0,34241013.0,-118272231.0,96284.0,1956.0,24541.0,1310.92,0.0870862681493
2473,2017-06-27,11022692,1.0,2.0,969.0,7262.0,6037.0,34256937.0,-118422346.0,96361.0,1955.0,16125.0,576.4,0.180437905834
2509,2017-06-30,11030839,2.0,4.0,1640.0,7201.0,6037.0,34227496.0,-118396953.0,96375.0,1953.0,77040.0,2441.72,0.07218937613439999
2627,2017-06-29,11057735,2.0,4.0,1325.0,7499.0,6037.0,34275801.0,-118495333.0,96370.0,1955.0,38261.0,1509.62,0.010400614003899999
2887,2017-07-25,11122537,3.0,3.0,2152.0,8166.0,6037.0,34449317.0,-118494428.0,96373.0,1987.0,307300.0,7138.35,0.0626466173971
2951,2017-06-15,11148877,3.0,4.0,2507.0,5743.0,6037.0,34426605.0,-118438981.0,96401.0,1996.0,150495.0,5796.38,0.045970274184900004
2990,2017-05-05,11162756,3.0,5.0,2336.0,5275.0,6037.0,34382973.0,-118540882.0,96378.0,1969.0,108301.0,4308.07,0.0192196010715
3076,2017-06-30,11187628,2.0,4.0,1648.0,11705.0,6037.0,34591426.0,-118150989.0,97329.0,1955.0,39007.0,2633.02,-0.111240247699
3223,2017-06-09,11238129,1.0,1.0,486.0,348514.0,6037.0,34512311.0,-118088099.0,97328.0,1938.0,161087.0,3039.08,-0.00954833785616
3376,2017-05-01,11298368,2.0,3.0,1502.0,6732.0,6037.0,34678761.0,-118107555.0,97318.0,1987.0,21026.0,2037.28,-0.0133192872298
3429,2017-05-11,11323134,2.0,2.0,1619.0,111564.0,6037.0,34620020.0,-118282609.0,97329.0,1983.0,85000.0,4206.15,-0.012621943049
3477,2017-05-25,11387410,2.0,3.0,1300.0,111706.0,6037.0,34668424.0,-118031757.0,97318.0,1959.0,43925.0,2180.71,0.122290380718
3963,2017-05-17,11504941,4.0,4.0,3101.0,4328.0,6037.0,33895910.0,-118403692.0,96117.0,2003.0,414393.0,11987.72,0.013521186947299998
4099,2017-05-05,11539717,2.0,2.0,1419.0,4950.0,6037.0,33992340.0,-118434363.0,96047.0,1941.0,1091393.0,14350.73,0.042999212804699996
4555,2017-06-01,11656625,4.0,4.0,2465.0,9566.0,6037.0,34091515.0,-118393051.0,96050.0,1928.0,1955642.0,29417.53,0.25821966913000005
4556,2017-05-31,11656794,3.0,2.0,2344.0,5000.0,6037.0,34090802.0,-118394688.0,96086.0,1970.0,94003.0,2905.43,0.0630892200451
4577,2017-07-10,11663009,6.0,5.0,5191.0,8508.0,6037.0,34036056.0,-118521169.0,96120.0,2000.0,2576892.0,67224.31,0.10551321828400001
4801,2017-06-30,11725663,1.0,2.0,800.0,4400.0,6037.0,34031514.0,-118369568.0,95997.0,1939.0,216368.0,3656.32,0.136037339608
4943,2017-05-05,11761651,1.0,3.0,1080.0,5404.0,6037.0,33992731.0,-118248723.0,95992.0,1906.0,86721.0,1802.05,-0.0778243139977
5058,2017-07-06,11812228,2.0,3.0,1328.0,6155.0,6037.0,34068336.0,-118202752.0,96012.0,1954.0,20063.0,452.04,-0.102350499867
5228,2017-06-13,11856285,1.0,3.0,975.0,8662.0,6037.0,34041284.0,-118090433.0,96510.0,1955.0,324553.0,5153.76,-0.0799583269389
